,name,adress,rooms,size,level,price,repair,wall
0,Бизнес в аренду,"город Ташкент, Мирабадский район",87 м²,Черновая отделка,Кирпичный,1 000 у.е./мес.,,
1,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район",2,55 м²,15/21,1 400 у.е./мес.,Евроремонт,Монолитный
2,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,53 м²,1/4,700 у.е./мес.,Евроремонт,Кирпичный
3,4-комнатная квартира на продажу,"город Ташкент, Учтепинский район",4,111 м²,5/8,85 000 у.е.,Черновая отделка,Кирпичный
4,3-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",3,65 м²,1/4,650 у.е./мес.,Черновая отделка,Кирпичный
5,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",2,43 м²,4/4,54 300 у.е.,Евроремонт,Панельный
6,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,45 м²,1/4,49 000 у.е.,Черновая отделка,Панельный
7,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,48 м²,4/4,400 у.е./мес.,Черновая отделка,Панельный
8,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",1,40 м²,1/4,42 900 у.е.,Черновая отделка,Кирпичный
9,Жилой земельный участок на продажу,"Самаркандская область, Самарканд",6 сот.,,,40 000 у.е.,,
10,3-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, жилой комплекс Boulevard Международный деловой центр Tashkent City",3,75 м²,6/7,1 600 у.е./мес.,Евроремонт,Кирпичный
11,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,45 м²,4/4,600 у.е./мес.,Евроремонт,Панельный
12,1-комнатная квартира в аренду,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",1,30 м²,1/4,400 у.е./мес.,Евроремонт,Панельный
13,3-комнатная квартира на продажу,"город Ташкент, Сергелийский район",3,60 м²,7/7,54 000 у.е.,Средний,Кирпичный
14,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",2,50 м²,3/4,50 500 у.е.,Средний,Панельный
15,4-комнатная дача на продажу,"город Ташкент, Бектемирский район, Юкори Чирчик",4,7 сот.,200 м²,110 000 у.е.,Евроремонт,Кондиционер
16,3-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Ганга",3,72 м²,5/9,74 000 у.е.,Требует ремонта,Монолитный
17,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Дархан",2,55 м²,7/9,800 у.е./мес.,Евроремонт,Панельный
18,6+ комнатная квартира на продажу,"город Ташкент, Юнусабадский район",6+,248 м²,7/8,310 000 у.е.,Лифт,Телефонная линия
19,6+ комнатный частный дом на продажу,"город Ташкент, Шайхантахурский район",6+,6.2 сот.,250 м²,360 000 у.е.,Средний,Кирпичный
20,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Ислама Каримова",2,65 м²,3/4,1 100 у.е./мес.,Черновая отделка,Кирпичный
21,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район",2,50 м²,10/12,1 600 у.е./мес.,Евроремонт,Кирпичный
22,4-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Абдуллы Каххара",4,140 м²,3/7,3 000 у.е./мес.,Телефонная линия,Кондиционер
23,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Фидокор",3,130 м²,3/9,2 500 у.е./мес.,Лифт,Парковочное место
24,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Нукус",4,182 м²,3/7,2 000 у.е./мес.,Лифт,Телефонная линия
25,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Нукус",4,214 м²,3/9,3 000 у.е./мес.,Холодильник,Газоснабжение
26,1-комнатная квартира в аренду,"город Ташкент, Юнусабадский район",1,40 м²,2/4,650 у.е./мес.,Евроремонт,Панельный
27,Бизнес в аренду,"город Ташкент, Мирзо-Улугбекский район",6+,1 100 м²,2/2,11 000 у.е./мес.,Требует ремонта,Кирпичный
28,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Айбека",2,60 м²,2/4,1 000 у.е./мес.,Евроремонт,Кирпичный
29,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Мукими",3,70 м²,4/4,69 600 у.е.,Черновая отделка,Кирпичный
30,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Махтумкули",3,75 м²,7/9,850 у.е./мес.,Евроремонт,Кирпичный
31,2-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Шарафа Рашидова",2,70 м²,2/7,700 у.е./мес.,Телефонная линия,Кондиционер
32,4-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",4,100 м²,4/7,8 200 000 у.е.,Требует ремонта,Кирпичный
33,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Бешагач",2,70 м²,2/7,700 у.е./мес.,Парковочное место,Лифт
34,4-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Хадра",4,120 м²,8/9,1 000 у.е./мес.,Черновая отделка,Панельный
35,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Бешагач",2,65 м²,5/9,850 у.е./мес.,Телефонная линия,Кондиционер
36,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,60 м²,4/4,47 300 у.е.,Черновая отделка,Кирпичный
37,4-комнатная квартира в аренду,"город Ташкент, Юнусабадский район",4,95 м²,2/4,900 у.е./мес.,Кондиционер,Парковочное место
38,1-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Akay City",1,48 м²,5/25,1 500 у.е./мес.,Евроремонт,Кирпичный
39,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, жилой комплекс Greenwich",2,70 м²,4/8,1 000 у.е./мес.,Лифт,Телефонная линия
40,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район",3,80 м²,9/9,1 000 у.е./мес.,Евроремонт,Кирпичный
41,6+ комнатная квартира на продажу,"город Ташкент, Яшнободский район",6+,150 м²,1/8,155 000 у.е.,Евроремонт,Кирпичный
42,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Тараса Шевченко",2,50 м²,4/12,1 500 у.е./мес.,Евроремонт,Кирпичный
43,3-комнатная квартира в аренду,"город Ташкент, Юнусабадский район",3,65 м²,2/9,900 у.е./мес.,Евроремонт,Панельный
44,3-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, жилой комплекс Boulevard Международный деловой центр Tashkent City",3,70 м²,6/6,2 000 у.е./мес.,Евроремонт,Кирпичный
45,3-комнатная квартира в аренду,"город Ташкент, Яккасарайский район",3,90 м²,7/8,1 000 у.е./мес.,Евроремонт,Монолитный
46,2-комнатная квартира в аренду,"город Ташкент, Юнусабадский район",2,60 м²,2/4,700 у.е./мес.,Евроремонт,Кирпичный
47,3-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, жилой комплекс Boulevard Международный деловой центр Tashkent City",3,75 м²,3/6,1 200 у.е./мес.,Евроремонт,Кирпичный
48,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-20",2,57 м²,8/9,53 800 у.е.,Черновая отделка,Монолитный
49,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Таллимаржон",3,75 м²,2/9,450 у.е./мес.,Средний,Панельный
50,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район",3,75 м²,2/9,900 у.е./мес.,Евроремонт,Панельный
51,1-комнатная квартира в аренду,"город Ташкент, Яшнободский район",1,36 м²,2/9,550 у.е./мес.,Черновая отделка,Кирпичный
52,1-комнатная квартира на продажу,"город Ташкент, Яшнободский район, Олмос",1,52 м²,6/9,43 000 у.е.,Требует ремонта,Кирпичный
53,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",3,75 м²,2/5,77 000 у.е.,Евроремонт,Кирпичный
54,2-комнатная квартира в аренду,"город Ташкент, Яшнободский район",2,47 м²,4/9,600 у.е./мес.,Евроремонт,Лифт
55,2-комнатная квартира на продажу,"Навоийская область, Навои",2,50 м²,4/5,30 661.28 у.е.,Средний,
56,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район",3,85 м²,2/4,1 800 у.е./мес.,Евроремонт,Кирпичный
57,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Саида Барака",4,95 м²,2/4,1 300 у.е./мес.,Евроремонт,Кирпичный
58,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Нафосат",2,64 м²,7/9,66 600 у.е.,Требует ремонта,Кирпичный
59,6+ комнатный частный дом в аренду,"город Ташкент, Мирзо-Улугбекский район",6+,4 сот.,4 м²,2 000 у.е./мес.,Евроремонт,Кирпичный
60,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",2,60 м²,6/9,800 у.е./мес.,Черновая отделка,Кирпичный
61,3-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Абдуллы Кадыри",3,80 м²,8/10,132 000 у.е.,Евроремонт,Кирпичный
62,1-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Akay City",1,50 м²,8/22,1 000 у.е./мес.,Евроремонт,Монолитный
63,1-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Улугбек",1,28 м²,1/3,31 500 у.е.,Черновая отделка,Кирпичный
64,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",2,69 м²,4/4,71 500 у.е.,Черновая отделка,Кирпичный
65,1-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район",1,40 м²,1/4,49 000 у.е.,Евроремонт,Панельный
66,1-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",1,36 м²,1/4,600 у.е./мес.,Евроремонт,Кондиционер
67,1-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Карасу-4",1,39 м²,4/5,39 700 у.е.,Черновая отделка,Санузел раздельный
68,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Махтумкули",3,70 м²,4/9,1 000 у.е./мес.,Евроремонт,Кирпичный
69,3-комнатная квартира на продажу,"Ташкентская область, Ташкентский район",3,68 м²,2/9,58 000 у.е.,Черновая отделка,Кирпичный
70,3-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Кизилсув",3,87 м²,2/16,95 000 у.е.,Телефонная линия,Кондиционер
71,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Элобод",3,77 м²,3/4,481.82 у.е./мес.,Черновая отделка,Кирпичный
72,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Куйлюк-Центр",3,96 м²,6/9,500 у.е./мес.,Средний,Панельный
73,3-комнатная квартира на продажу,"город Ташкент, Мирабадский район",3,95 м²,2/5,150 000 у.е.,Евроремонт,Кирпичный
74,6+ комнатный частный дом на продажу,"город Ташкент, Учтепинский район",6+,4.5 сот.,4.5 м²,190 000 у.е.,Средний,Кирпичный
75,6+ комнатный частный дом в аренду,"город Ташкент, Яккасарайский район, Бабура",6+,5 сот.,388 м²,3 800 у.е./мес.,Евроремонт,Кирпичный
76,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Нукус",4,100 м²,2/9,1 500 у.е./мес.,Лифт,Парковочное место
77,6+ комнатная квартира на продажу,"город Ташкент, Яккасарайский район",6+,180 м²,9/10,140 000 у.е.,Средний,Кирпичный
78,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,53 м²,6/6,45 000 у.е.,Евроремонт,Кирпичный
79,4-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",4,140 м²,7/7,120 000 у.е.,Средний,Кирпичный
80,2-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар-14",2,50 м²,1/4,55 800 у.е.,Черновая отделка,Панельный
81,3-комнатная квартира на продажу,"город Ташкент, Учтепинский район",3,71 м²,5/7,82 900 у.е.,Евроремонт,Кирпичный
82,3-комнатный частный дом на продажу,"город Ташкент, Яшнободский район",3,3 сот.,80 м²,103 000 у.е.,Требует ремонта,Кирпичный
83,1-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули",1,33 м²,1/4,400 у.е./мес.,Кирпичный,Кондиционер
84,2-комнатная квартира на продажу,"город Ташкент, Мирабадский район, Нукус",2,54 м²,6/14,175 000 у.е.,Средний,Кирпичный
85,1-комнатная квартира на продажу,"город Ташкент, Сергелийский район",1,42 м²,5/9,33 000 у.е.,Средний,Монолитный
86,4-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",4,98 м²,7/7,310 000 у.е.,Евроремонт,Кирпичный
87,4-комнатная квартира на продажу,"город Ташкент, Мирабадский район, Нукус",4,97 м²,6/9,215 000 у.е.,Средний,Панельный
88,3-комнатная квартира на продажу,"город Ташкент, Сергелийский район",3,58 м²,3/7,56 000 у.е.,Черновая отделка,Кирпичный
89,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, жилой комплекс Greenwich",2,65 м²,1/8,1 000 у.е./мес.,Евроремонт,Монолитный
90,2-комнатная квартира в аренду,"город Ташкент, Яккасарайский район",2,51 м²,3/9,700 у.е./мес.,Евроремонт,Кирпичный
91,2-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Конституция",2,46 м²,6/7,1 000 у.е./мес.,Евроремонт,Кирпичный
92,4-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",4,105 м²,2/9,109 000 у.е.,Евроремонт,Кирпичный
93,4-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",4,98 м²,7/7,310 000 у.е.,Евроремонт,Кирпичный
94,3-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",3,80 м²,11/12,55 000 у.е.,Средний,Монолитный
95,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-7",2,50 м²,3/4,49 700 у.е.,Черновая отделка,Панельный
96,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",3,70 м²,4/4,57 000 у.е.,Средний,Кирпичный
97,2-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар-24",2,48 м²,3/4,56 500 у.е.,Черновая отделка,Панельный
98,3-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Минор",3,65 м²,2/9,900 у.е./мес.,Евроремонт,Лифт
99,4-комнатный частный дом на продажу,"Ташкентская область, Кибрайский район, городской посёлок Салар",4,4 сот.,150 м²,168 000 у.е.,Евроремонт,Кирпичный
100,2-комнатная квартира в аренду,"город Ташкент, Яккасарайский район",2,71 м²,9/9,1 500 у.е./мес.,Евроремонт,Монолитный
101,4-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",4,98 м²,6/7,235 000 у.е.,Евроремонт,Кирпичный
102,2-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Бабура",2,51 м²,7/10,1 300 у.е./мес.,Евроремонт,Кирпичный
103,Бизнес на продажу,"город Ташкент, Янгихаётский район",67 м²,Средний,Кирпичный,82 000 у.е.,Мебель,
104,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-7",2,50 м²,3/4,54 400 у.е.,Евроремонт,Панельный
105,Бизнес на продажу,"город Ташкент, Яккасарайский район, Шота Руставели",101 м²,Средний,Кирпичный,300 000 у.е.,Мебель,
106,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",2,68 м²,6/7,1 600 у.е./мес.,Евроремонт,Кирпичный
107,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",2,65 м²,5/5,1 300 у.е./мес.,Евроремонт,Кирпичный
108,3-комнатная квартира на продажу,"город Ташкент, Учтепинский район",3,67 м²,5/9,72 100 у.е.,Евроремонт,Панельный
109,4-комнатная квартира на продажу,"город Ташкент, Мирабадский район, Мирабад",4,200 м²,8/8,300 000 у.е.,Евроремонт,Кирпичный
110,3-комнатная квартира на продажу,"город Ташкент, Яшнободский район, Тузель 1-й квартал",3,70 м²,1/4,75 000 у.е.,Евроремонт,Кирпичный
111,Бизнес на продажу,"город Ташкент, Мирабадский район",52 м²,Черновая отделка,Телефонная линия,68 000 у.е.,Интернет,Парковочное место
112,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район",2,50 м²,4/4,650 у.е./мес.,Евроремонт,Кирпичный
