,name,adress,rooms,size,level,repair,wall,price
76,1-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар-26",1,42 м²,2/4,Черновая отделка,Кирпичный,40 000 у.е.
77,1-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар-23",1,42 м²,2/4,Черновая отделка,Кирпичный,42 500 у.е.
78,3-комнатная квартира на продажу,"город Ташкент, Олмазорский район",3,107 м²,3/8,Требует ремонта,Кирпичный,125 000 у.е.
79,3-комнатная квартира на продажу,"город Ташкент, Олмазорский район, Каракамыш квартал 2/5",3,94 м²,4/7,Средний,Кирпичный,75 000 у.е.
80,3-комнатная квартира на продажу,"город Ташкент, Олмазорский район, Университет",3,68 м²,7/9,Средний,Панельный,67 000 у.е.
81,4-комнатная квартира на продажу,"город Ташкент, Яккасарайский район, Хазинабог",4,91 м²,1/5,Требует ремонта,Кирпичный,90 000 у.е.
82,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,50 м²,3/4,Черновая отделка,Панельный,55 000 у.е.
83,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",1,33 м²,1/4,Черновая отделка,Панельный,40 000 у.е.
84,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",3,65 м²,10/10,Евроремонт,Кирпичный,80 000 у.е.
85,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",1,36 м²,3/4,Средний,Панельный,65 000 у.е.
86,2-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Караташ",2,72 м²,5/12,Средний,Панельный,71 000 у.е.
87,4-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Караташ",4,100 м²,8/9,Требует ремонта,Панельный,82 000 у.е.
88,3-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Караташ",3,76 м²,8/9,Евроремонт,Панельный,85 000 у.е.
89,3-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Караташ",3,100 м²,5/7,Средний,Кирпичный,94 000 у.е.
