adress,rooms,size,measure,level,repair,wall,price,status
 Чиланзарский район,2,50,,1/4,Средний,Панельный,400,аренду
 Чиланзарский район,2,60,,3/5,Авторский проект,Кирпичный,500,аренду
 Чиланзарский район,1,30,,1/4,Авторский проект,Панельный,350,аренду
 Чиланзарский район,1,53,,6/9,Евроремонт,Монолитный,800,аренду
 Мирзо-Улугбекский район,3,76,,7/9,Евроремонт,Панельный,600,аренду
 Мирабадский район,2,55,,3/5,Евроремонт,Кирпичный,600,аренду
 Юнусабадский район,4,90,,2/4,Авторский проект,Кирпичный,900,аренду
 Чиланзарский район,2,45,,3/4,Средний,Панельный,350,аренду
 Чиланзарский район,1,30,,4/4,Средний,Панельный,300,аренду
 Мирзо-Улугбекский район,3,70,,3/4,Евроремонт,Кирпичный,500,аренду
 Мирзо-Улугбекский район,3,70,,4/9,Средний,Панельный,300,аренду
 Мирзо-Улугбекский район,3,105,,1/8,Евроремонт,Монолитный,2 500,аренду
 Яшнободский район,2,40,,3/5,Евроремонт,Кирпичный,450,аренду
 Яккасарайский район,2,65,,3/8,Евроремонт,Кирпичный,850,аренду
 Учтепинский район,2,45,,2/4,Евроремонт,Кирпичный,450,аренду
 Яккасарайский район,1,38,,4/4,Средний,Кирпичный,400,аренду
 Мирзо-Улугбекский район,2,60,,2/3,Евроремонт,Кирпичный,500,аренду
 Мирабадский район,2,50,,12/12,Евроремонт,Кирпичный,1 400,аренду
 Мирабадский район,6+,5 сот.,,220 м²,1,Евроремонт,2 200,аренду
 Яшнободский район,2,42,,3/9,Евроремонт,Кирпичный,500,аренду
 Мирабадский район,4,175,,6/8,Евроремонт,Кирпичный,2 000,аренду
 Олмазорский район,3,77,,1/23,Евроремонт,Другое,1 000,аренду
 Шайхантахурский район,3,70,,3/4,Авторский проект,Кирпичный,850,аренду
 Шайхантахурский район,2,65,,3/4,Евроремонт,Кирпичный,550,аренду
 Яшнободский район,2,47.17,,9/9,Авторский проект,Кирпичный,750,аренду
 Яшнободский район,2,68,,4/9,Евроремонт,Кирпичный,750,аренду
 Яшнободский район,2,62,,3/8,Евроремонт,Кирпичный,700,аренду
 Учтепинский район,1 сот.,70,,1/1,Средний,Другое,438.02,аренду
 Мирабадский район,2,50,,2/4,Евроремонт,Кирпичный,700,аренду
 Юнусабадский район,2,60,,9/11,Евроремонт,Кирпичный,900,аренду
 Чиланзарский район,2,46,,2/3,Евроремонт,Панельный,550,аренду
 Чиланзарский район,4,100,,8/9,Евроремонт,Панельный,700,аренду
 Мирабадский район,3,80,,9/9,Евроремонт,Панельный,450,аренду
 Чиланзарский район,2,46,,2/4,Евроремонт,Панельный,550,аренду
 Мирабадский район,4,90,,2/4,Евроремонт,Кирпичный,1 200,аренду
 Яккасарайский район,3,71,,4/4,Евроремонт,Кирпичный,800,аренду
 Чиланзарский район,2,30,,2/4,Средний,Кирпичный,350,аренду
 Чиланзарский район,3,65,,2/4,Евроремонт,Кирпичный,600,аренду
 Мирабадский район,2,55,,5/9,Авторский проект,Панельный,900,аренду
 Мирабадский район,3,82,,1/4,Евроремонт,Кирпичный,650,аренду
 Шайхантахурский район,180 м²,1/1,,Требует ремонта,Кирпичный, ,2 500,аренду
 Юнусабадский район,6+,4 сот.,,400 м²,1,Средний,1 500,аренду
 Юнусабадский район,2,60,,3/5,Евроремонт,Кирпичный,600,аренду
 Мирабадский район,2,45,,8/8,Авторский проект,Кирпичный,900,аренду
 Мирабадский район,6+,420 сот.,,200 м²,2,Авторский проект,3 500,аренду
 Шайхантахурский район,69 м²,1/1,,Евроремонт,Кирпичный, ,1 380,аренду
 Шайхантахурский район,44 м²,1/1,,Евроремонт,Кирпичный, ,880,аренду
 Шайхантахурский район,285 м²,1/1,,Евроремонт,Кирпичный, ,580,аренду
 Мирабадский район,3,130,,2/8,Евроремонт,Кирпичный,1 500,аренду
 Мирабадский район,2,1 сот.,,50 м²,1,Авторский проект,750,аренду
 Сергелийский район,6+,4 сот.,,600 м²,2,Авторский проект,1 500,аренду
 Чиланзарский район,1,20,,2/5,Авторский проект,Кирпичный,220,аренду
 Сергелийский район,5,2 сот.,,220 м²,2,Авторский проект,1 500,аренду
 Шайхантахурский район,4,90,,2/4,Евроремонт,Кирпичный,650,аренду
 Яшнободский район,1,35,,4/4,Евроремонт,Панельный,300,аренду
 Шайхантахурский район,2,50,,3/4,Евроремонт,Кирпичный,550,аренду
 Яшнободский район,3,70,,6/9,Средний,Панельный,450,аренду
 Чиланзарский район,2,50,,2/4,Евроремонт,Кирпичный,700,аренду
 Чиланзарский район,3,70,,3/4,Средний,Кирпичный,500,аренду
 Яшнободский район,2,48,,3/4,Средний,Панельный,350,аренду
 Шайхантахурский район,3,70,,3/4,Евроремонт,Кирпичный,850,аренду
 Мирзо-Улугбекский район,4,90,,4/4,Авторский проект,Кирпичный,1 500,аренду
 Яшнободский район,3,68,,2/4,Евроремонт,Кирпичный,1 000,аренду
 Яшнободский район,2,68,,3/9,Евроремонт,Панельный,400,аренду
 Чиланзарский район,2,35,,4/4,Евроремонт,Панельный,400,аренду
 Шайхантахурский район,3,70,,1/4,Евроремонт,Кирпичный,700,аренду
 Чиланзарский район,2,50,,2/4,Евроремонт,Кирпичный,550,аренду
 Мирабадский район,2,50,,1/9,Евроремонт,Панельный,650,аренду
 Учтепинский район,56 м²,1/4,,Евроремонт,Панельный, ,750,аренду
 Чиланзарский район,1,42,,2/4,Средний,Другое,250,аренду
 Яккасарайский район,1,40,,1/2,Евроремонт,Кирпичный,500,аренду
 Шайхантахурский район,4,90,,2/4,Евроремонт,Кирпичный,600,аренду
 Яккасарайский район,1,40,,5/7,Евроремонт,Панельный,450,аренду
 Мирзо-Улугбекский район,1,45,,1/4,Евроремонт,Кирпичный,500,аренду
 Шайхантахурский район,2,50,,6/9,Евроремонт,Панельный,600,аренду
 Мирабадский район,60 м²,1/9,,Евроремонт,Другое, ,1 000,аренду
 Учтепинский район,3,56,,3/5,Средний,Кирпичный,600 000,аренду
 Чиланзарский район,2,45,,3/4,Средний,Панельный,350,аренду
 Учтепинский район,2,47,,1/5,Евроремонт,Кирпичный,350,аренду
 Чиланзарский район,1,28,,3/4,Евроремонт,Кирпичный,500,аренду
 Чиланзарский район,1,30,,3/4,Евроремонт,Панельный,450,аренду
 Чиланзарский район,2,45,,2/4,Евроремонт,Панельный,500,аренду
 Мирабадский район,2,50,,12/12,Авторский проект,Монолитный,1 300,аренду
 Яккасарайский район,3,70,,2/4,Евроремонт,Кирпичный,800,аренду
 Яккасарайский район,2,70,,6/6,Авторский проект,Кирпичный,700,аренду
 Яккасарайский район,1,33,,3/4,Евроремонт,Кирпичный,700,аренду
 Юнусабадский район,2,60,,4/4,Евроремонт,Кирпичный,800,аренду
 Яккасарайский район,3,68,,4/4,Евроремонт,Кирпичный,700,аренду
 Шайхантахурский район,3,70,,1/4,Евроремонт,Кирпичный,700,аренду
 Мирзо-Улугбекский район,3,70,,4/5,Евроремонт,Кирпичный,800,аренду
 Юнусабадский район,2,60,,3/4,Евроремонт,Кирпичный,700,аренду
 Яккасарайский район,6+,160,,1/10,Евроремонт,Монолитный,1 400,аренду
 Яшнободский район,2,48,,8/9,Авторский проект,Монолитный,700,аренду
 Юнусабадский район,3,72,,3/4,Евроремонт,Кирпичный,1 000,аренду
 Мирзо-Улугбекский район,2,45,,8/8,Авторский проект,Кирпичный,900,аренду
 Шайхантахурский район,2,60,,3/9,Авторский проект,Панельный,1 000,аренду
 Яккасарайский район,2,56,,3/5,Евроремонт,Кирпичный,550,аренду
 Юнусабадский район,3,70,,3/4,Авторский проект,Кирпичный,1 200,аренду
 Шайхантахурский район,3,70,,3/4,Евроремонт,Кирпичный,800,аренду
 Юнусабадский район,1,30,,3/13,Евроремонт,Монолитный,500,аренду
 Мирабадский район,2,55,,5/9,Авторский проект,Монолитный,900,аренду
 Яшнободский район,2,60,,9/9,Евроремонт,Монолитный,800,аренду
 Шайхантахурский район,3,74,,9/9,Евроремонт,Панельный,800,аренду
 Мирзо-Улугбекский район,3,70,,7/9,Евроремонт,Панельный,800,аренду
 Олмазорский район,2,64,,7/8,Евроремонт,Монолитный,950,аренду
 Мирзо-Улугбекский район,2,55,,4/4,Авторский проект,Кирпичный,850,аренду
 Чиланзарский район,3,57,,5/5,Евроремонт,Кирпичный,550,аренду
 Мирзо-Улугбекский район,2,67,,6/9,Евроремонт,Панельный,500,аренду
 Яшнободский район,3,70,,2/2,Евроремонт,Кирпичный,750,аренду
 Юнусабадский район,4,92,,9/9,Евроремонт,Панельный,900,аренду
 Мирабадский район,3,130,,2/8,Евроремонт,Кирпичный,1 500,аренду
 Мирабадский район,3,95,,6/8,Евроремонт,Монолитный,1 100,аренду
 Яккасарайский район,1,49,,10/13,Авторский проект,Монолитный,1 000,аренду
 Мирабадский район,2,60,,4/9,Авторский проект,Панельный,900,аренду
 Чиланзарский район,2,62,,2/9,Евроремонт,Панельный,700,аренду
 Юнусабадский район,2,60,,5/9,Авторский проект,Кирпичный,1 150,аренду
 Юнусабадский район,2,60,,6/9,Евроремонт,Панельный,1 100,аренду
 Мирзо-Улугбекский район,2,57,,4/5,Средний,Панельный,262.81,аренду
 Мирзо-Улугбекский район,1,49,,19/26,Авторский проект,Кирпичный,1 200,аренду
 Юнусабадский район,3,65,,3/9,Средний,Монолитный,550,аренду
 Мирабадский район,3,75,,5/8,Евроремонт,Кирпичный,1 000,аренду
 Мирабадский район,3,130,,2/8,Евроремонт,Кирпичный,1 500,аренду
 Яккасарайский район,5,4 сот.,,4 м²,2,Авторский проект,3 450,аренду
 Яккасарайский район,4,100,,2/4,Евроремонт,Кирпичный,1 000,аренду
 Яшнободский район,2,42,,3/9,Евроремонт,Кирпичный,500,аренду
 Юнусабадский район,3,87,,9/9,Евроремонт,Кирпичный,1 000,аренду
 Чиланзарский район,4,174,,7/9,Евроремонт,Кирпичный,600,аренду
 Мирзо-Улугбекский район,3,105,,5/9,Евроремонт,Кирпичный,800,аренду
 Мирзо-Улугбекский район,3,70,,4/9,Средний,Монолитный,350,аренду
 Мирабадский район,310 м²,1/1,,Средний,Кирпичный, ,3 000,аренду
 Юнусабадский район,3,106,,5/10,Евроремонт,Кирпичный,2 000,аренду
 Мирзо-Улугбекский район,3,89,,6/9,Евроремонт,Кирпичный,1 000,аренду
 Юнусабадский район,3,103,,4/9,Евроремонт,Кирпичный,1 200,аренду
