adress,rooms,size,measure,level,repair,wall,price,status
 Мирзо-Улугбекский район,1,38,,2/4,Черновая отделка,Кирпичный,400,аренду
 Чиланзарский район,1,30,,3/4,Черновая отделка,Кирпичный,350,аренду
 Чиланзарский район,2,52,,1/4,Черновая отделка,Кирпичный,450,аренду
 Олмазорский район,2,55,,3/9,Средний,Панельный,500,аренду
 Олмазорский район,3,110,,2/4,Черновая отделка,Кирпичный,400,аренду
 Мирабадский район,3,120,,3/5,Евроремонт,Кирпичный,2 200,аренду
 Яшнободский район,2,55,,4/7,Евроремонт,Кирпичный,700,аренду
 Юнусабадский район,2,50,,2/4,Евроремонт,Панельный,500,аренду
 Чиланзарский район,180 м²,Евроремонт,,Кирпичный,Лифт,Парковочное место,1 200,аренду
 Мирзо-Улугбекский район,2,70,,11/25,Средний,Охрана,400,аренду
 Мирабадский район,3,80,,5/9,Лифт,Парковочное место,1 100,аренду
 Мирабадский район,3,80,,3/9,Евроремонт,Лифт,900,аренду
 Яшнободский район,3,80,,7/9,Евроремонт,Кирпичный,800,аренду
 Яккасарайский район,6+,142,,1/10,Лифт,Телефонная линия,1 400,аренду
 Чиланзарский район,1,34,,5/5, , ,300,аренду
 Юнусабадский район,6+,6 сот.,,500 м²,Телефонная линия,Парковочное место,4 000,аренду
 Чиланзарский район,1,38,,1/4,Евроремонт,Кирпичный,500,аренду
 Яккасарайский район,2,50,,2/2,Парковочное место,Холодильник,1 000,аренду
 Яшнободский район,2,50,,4/5,Евроремонт,Панельный,500,аренду
 Яшнободский район,1,25,,1/5,Средний, ,262.81,аренду
 Мирзо-Улугбекский район,2,40,,3/5,Средний,Кирпичный,500,аренду
 Мирзо-Улугбекский район,2,40,,3/5,Средний,Кирпичный,450,аренду
 Мирзо-Улугбекский район,4,85,,4/5,Евроремонт,Кирпичный,500,аренду
 Учтепинский район,1,42,,5/5,Черновая отделка,Кирпичный,350,аренду
 Учтепинский район,1,42,,5/5,Черновая отделка,Кирпичный,350,аренду
 Учтепинский район,2,55,,5/5,Средний,Кирпичный,300,аренду
 Учтепинский район,2,55,,5/5,Средний,Кирпичный,300,аренду
 Мирзо-Улугбекский район,4,93,,3/5,Черновая отделка,Кондиционер,700,аренду
 Мирзо-Улугбекский район,2,50,,6/8,Евроремонт,Кирпичный,800,аренду
 Мирзо-Улугбекский район,2,70,,6/9,Лифт,Парковочное место,1 300,аренду
 Яккасарайский район,3,110,,6/9,Лифт,Телефонная линия,1 600,аренду
 Яшнободский район,3,50,,4/4,Черновая отделка,Панельный,600,аренду
 Шайхантахурский район,3,75,,2/9,Черновая отделка,Кондиционер,1 000,аренду
 Яшнободский район,2,40,,2/5,Евроремонт,Кирпичный,600,аренду
 Мирабадский район,2,56,,4/7,Черновая отделка,Кирпичный,800,аренду
 Олмазорский район,2,54,,2/9,Черновая отделка,Кондиционер,650,аренду
 Яшнободский район,3,83,,2/6,Евроремонт,Кирпичный,700,аренду
 Яккасарайский район,6+,3.7 сот.,,225 м²,Евроремонт,Кирпичный,3 000,аренду
 Яшнободский район,2,40,,2/5,Евроремонт,Охрана,600,аренду
 Яккасарайский район,6+,3.7 сот.,,485 м²,Евроремонт,Кирпичный,5 000,аренду
 Мирзо-Улугбекский район,1,32,,3/5,Евроремонт,Кирпичный,500,аренду
 Юнусабадский район,2,60,,4/4,Евроремонт,Кирпичный,650,аренду
 Мирабадский район,4,150,,4/12,Евроремонт,Лифт,1 200,аренду
 Мирзо-Улугбекский район,3,120,,5/27,Евроремонт,Парковочное место,1 500,аренду
 Юнусабадский район,3,50,,3/4,Евроремонт,Кирпичный,100,аренду
 Мирабадский район,4,150,,6/6,Евроремонт,Лифт,1 400,аренду
 Мирабадский район,2,100,,4/6,Евроремонт,Парковочное место,1 500,аренду
 Яккасарайский район,2,70,,5/8,Евроремонт,Кирпичный,1 550,аренду
 Яккасарайский район,1,28,,3/4,Евроремонт,Кирпичный,450,аренду
 Яшнободский район,2,60,,5/9,Евроремонт,Панельный,700,аренду
 Мирзо-Улугбекский район,2,90,,2/4,Евроремонт,Кирпичный,800,аренду
 Мирзо-Улугбекский район,6+,3 сот.,,300 м²,Евроремонт,Кирпичный,3 000,аренду
 Яккасарайский район,2,62,,5/10,Евроремонт,Кирпичный,1 000,аренду
 Яшнободский район,3,84,,4/6,Евроремонт,Кирпичный,1 200,аренду
 Чиланзарский район,2,37,,3/4,Евроремонт,Панельный,400,аренду
 Чиланзарский район,3,64,,1/4, , ,650,аренду
 Чиланзарский район,1,40,,1/7, , ,600,аренду
 Яккасарайский район,2,55,,2/4,Евроремонт,Кирпичный,1 000,аренду
 Чиланзарский район,1,30,,1/5,Евроремонт,Кирпичный,400,аренду
 Мирзо-Улугбекский район,3,75,,3/9,Евроремонт,Парковочное место,1 000,аренду
 Чиланзарский район,1,30,,3/4,Кирпичный, ,350,аренду
 Шайхантахурский район,2,50,,6/7,Евроремонт,Кирпичный,1 500,аренду
 Яшнободский район,2,50,,2/4,Черновая отделка,Панельный,300,аренду
 Чиланзарский район,2,53,,1/4,Канализация,Водоснабжение,700,аренду
 Мирзо-Улугбекский район,3,100,,4/10,Кирпичный,Лифт,1 000,аренду
 Мирзо-Улугбекский район,2,70,,1/6,Евроремонт,Кирпичный,700,аренду
 Яккасарайский район,2,72,,2/9,Евроремонт,Парковочное место,700,аренду
 Шайхантахурский район,3,107,,5/7,Евроремонт,Кирпичный,1 987,аренду
 Мирзо-Улугбекский район,2,60,,1/5,Евроремонт,Кирпичный,800,аренду
 Мирзо-Улугбекский район,3,100,,4/8,Евроремонт,Кирпичный,1 000,аренду
 Яшнободский район,3,80,,7/9,Евроремонт,Панельный,500,аренду
 Чиланзарский район,250 м², ,, , , ,3 750,аренду
 Юнусабадский район,3,120,,3/5,Телефонная линия,Кондиционер,2 200,аренду
 Юнусабадский район,4,101,,2/4,Евроремонт,Кирпичный,1 500,аренду
 Мирзо-Улугбекский район,4,92,,1/5,Требует ремонта,Панельный,300,аренду
 Яккасарайский район,2,50,,3/9,Евроремонт,Кирпичный,650,аренду
 Яшнободский район,1,40,,1/4,Евроремонт,Кирпичный,700,аренду
 Яккасарайский район,2,70,,4/8,Евроремонт,Кирпичный,1 100,аренду
 Яккасарайский район,3,100,,8/9,Евроремонт,Кирпичный,1 100,аренду
 Мирзо-Улугбекский район,3,90,,3/4,Евроремонт,Кирпичный,1 200,аренду
 Яккасарайский район,4,4 сот.,,200 м²,Средний,Кирпичный,2 300,аренду
 Мирабадский район,1,42,,1/9,Черновая отделка,Лифт,300,аренду
 Мирабадский район,2,80,,6/9,Средний,Телефонная линия,800,аренду
 Яккасарайский район,2,52,,2/4,Евроремонт,Кирпичный,800,аренду
 Юнусабадский район,2,58,,1/4,Евроремонт,Панельный,750,аренду
 Мирзо-Улугбекский район,3,77,,2/4,Евроремонт,Кирпичный,2 000,аренду
 Юнусабадский район,6+,350,,1/5,Евроремонт,Кирпичный,2 000,аренду
 Яшнободский район,3,50,,4/4,Черновая отделка,Панельный,600,аренду
 Мирабадский район,4,3.5 сот.,,120 м², , ,1 200,аренду
 Чиланзарский район,4,80,,1/4,Телефонная линия,Кондиционер,800,аренду
 Яккасарайский район,4,111,,14/16,Черновая отделка,Холодильник,600,аренду
 Чиланзарский район,2,52,,2/4,Средний,Кирпичный,400,аренду
 Сергелийский район,2,65,,6/9,Черновая отделка,Панельный,400,аренду
 Яшнободский район,2,60,,3/9,Евроремонт,Парковочное место,750,аренду
 Мирзо-Улугбекский район,2,60,,3/4,Евроремонт,Кирпичный,400,аренду
 Чиланзарский район,2,45,,4/4,Евроремонт,Панельный,500,аренду
 Чиланзарский район,1,38,,2/5,Черновая отделка,Панельный,350,аренду
 Чиланзарский район,3,105,,2/4,Евроремонт,Кирпичный,700,аренду
 Яшнободский район,4,110,,15/16, , ,650,аренду
 Мирабадский район,200 м²,Евроремонт,,Телефонная линия,Интернет,Парковочное место,2 500,аренду
 Мирзо-Улугбекский район,2,55,,4/4,Евроремонт,Кирпичный,900,аренду
 Мирабадский район,208 м²,Евроремонт,,Телефонная линия,Интернет,Парковочное место,3 000,аренду
 Яшнободский район,2,40,,2/5,Евроремонт,Кирпичный,600,аренду
 Мирабадский район,3,73,,3/3,Средний,Панельный,500,аренду
 Шайхантахурский район,3,90,,6/6,Евроремонт,Парковочное место,2 000,аренду
 Мирзо-Улугбекский район,3,113,,4/4,Евроремонт,Кирпичный,1 300,аренду
 Мирзо-Улугбекский район,2,62,,3/5,Черновая отделка,Монолитный,400,аренду
 Яшнободский район,2,51,,7/10,Евроремонт,Кирпичный,800,аренду
 Мирзо-Улугбекский район,3,78,,2/5,Требует ремонта,Панельный,300,аренду
 Яшнободский район,1,25,,8/9,Евроремонт,Монолитный,600,аренду
 Мирабадский район,3,85,,8/9,Евроремонт,Панельный,1 200,аренду
 Мирабадский район,1,50,,4/5,Евроремонт,Кирпичный,800,аренду
 Юнусабадский район,2,60,,7/11,Евроремонт,Кирпичный,1 600,аренду
 Мирабадский район,3,70,,4/4,Черновая отделка,Кирпичный,750,аренду
 Яккасарайский район,150 м², ,, , , ,2 250,аренду
 Яккасарайский район,3,120,,3/5,Евроремонт,Кирпичный,2 200,аренду
 Чиланзарский район,1,45,,1/8,Евроремонт,Монолитный,600,аренду
 Мирзо-Улугбекский район,3,50,,3/5,Черновая отделка,Кирпичный,600,аренду
 Чиланзарский район,1,30,,3/4,Черновая отделка,Кирпичный,350,аренду
 Мирзо-Улугбекский район,2,75,,8/9,Евроремонт,Кирпичный,1 600,аренду
 Чиланзарский район,2,52,,1/4,Черновая отделка,Кирпичный,500,аренду
 Чиланзарский район,1,30,,3/4,Черновая отделка,Кирпичный,350,аренду
 Мирзо-Улугбекский район,2,72,,3/4, , ,50,аренду
 Чиланзарский район,1,30,,3/4, , ,350,аренду
 Чиланзарский район,1,30,,3/4,Черновая отделка,Кирпичный,400,аренду
 Чиланзарский район,1,30,,2/4,Черновая отделка,Панельный,350,аренду
 Чиланзарский район,1,30,,3/5, , ,450,аренду
 Чиланзарский район,1,45,,3/5,Евроремонт,Кирпичный,400,аренду
 Чиланзарский район,1,30,,3/5,Кирпичный, ,400,аренду
 Мирзо-Улугбекский район,4,90,,4/4,Средний,Кирпичный,600,аренду
 Чиланзарский район,3,67,,1/4,Кирпичный, ,650,аренду
 Чиланзарский район,3,68,,3/4,Кирпичный, ,600,аренду
 Юнусабадский район,1,1.5 сот.,,30 м²,Черновая отделка,Кирпичный,315.37,аренду
 Яккасарайский район,2,81,,9/9,Евроремонт,Кирпичный,1 000,аренду
 Яшнободский район,3,130,,5/9,Евроремонт,Кирпичный,1 300,аренду
 Яккасарайский район,3,105,,5/9,Евроремонт,Кирпичный,1 300,аренду
 Юнусабадский район,3,80,,3/4,Евроремонт,Кирпичный,850,аренду
 Шайхантахурский район,3,90,,6/7,Евроремонт,Кирпичный,2 300,аренду
 Яшнободский район,3,74,,2/9,Евроремонт,Панельный,900,аренду
 Бектемирский район,1,38,,1/4,Евроремонт, ,400,аренду
 Мирабадский район,2,40,,7/7,Евроремонт,Кирпичный,800,аренду
 Мирабадский район,6+,130,,2/9,Евроремонт,Панельный,800,аренду
 Шайхантахурский район,1,55,,2/5,Кирпичный,Телефонная линия,450,аренду
 Чиланзарский район,56 м²,Средний,,Кирпичный, , ,650,аренду
 Мирабадский район,3,55,,1/8,Евроремонт,Кирпичный,800,аренду
 Яшнободский район,1,40,,9/9,Лифт,Телефонная линия,600,аренду
 Яккасарайский район,4,170,,2/4,Евроремонт,Кирпичный,3 400,аренду
 Яккасарайский район,1,40,,3/5,Средний,Холодильник,500,аренду
 Мирабадский район,2,60,,9/9,Евроремонт,Парковочное место,1 200,аренду
 Яккасарайский район,1,28,,2/5,Евроремонт,Кирпичный,750,аренду
 Шайхантахурский район,4,178,,4/4,Средний,Кирпичный,500,аренду
 Яшнободский район,3,70,,5/5,Черновая отделка,Кирпичный,450,аренду
 Яккасарайский район,2,78,,1/3,Евроремонт,Кирпичный,800,аренду
 Яшнободский район,4,102,,5/9,Черновая отделка,Другое,500,аренду
 Мирзо-Улугбекский район,6+,6 сот.,,180 м²,Евроремонт,Кирпичный,1 800,аренду
 Мирабадский район,6+,4 сот.,,360 м²,Евроремонт,Кирпичный,2 800,аренду
 Юнусабадский район,6+,5 сот.,,350 м²,Евроремонт,Кирпичный,5 000,аренду
 Мирабадский район,3,105,,7/8,Евроремонт,Кирпичный,1 700,аренду
 Мирабадский район,3,100,,1/7,Евроремонт,Кирпичный,1 700,аренду
 Мирабадский район,3,105,,6/8,Евроремонт,Кирпичный,1 600,аренду
 Мирабадский район,4,105,,8/9,Евроремонт,Кирпичный,1 800,аренду
 Юнусабадский район,3,130,,5/5,Евроремонт,Кирпичный,2 500,аренду
 Мирабадский район,3,110,,4/6,Евроремонт,Кирпичный,2 200,аренду
 Мирабадский район,4,135,,7/8,Евроремонт,Кирпичный,2 000,аренду
 Мирабадский район,4,130,,3/7,Евроремонт,Кирпичный,1 400,аренду
 Мирабадский район,3,103,,5/9,Евроремонт,Кирпичный,1 500,аренду
 Мирзо-Улугбекский район,2,60,,7/9,Евроремонт,Монолитный,800,аренду
 Мирзо-Улугбекский район,2,60,,6/9,Евроремонт,Кирпичный,800,аренду
 Мирабадский район,4,110,,2/4,Евроремонт,Кирпичный,1 500,аренду
 Яккасарайский район,130 м², ,, , , ,2 700,аренду
 Яккасарайский район,2,60,,3/9,Парковочное место,Холодильник,700,аренду
 Мирабадский район,550 м², ,, , , ,19 250,аренду
 Чиланзарский район,1,30,,1/4,Евроремонт,Кирпичный,400,аренду
 Мирабадский район,80 м², ,, , , ,1 000,аренду
 Мирабадский район,100 м², ,, , , ,1 200,аренду
 Мирзо-Улугбекский район,4,130,,5/9,Парковочное место,Холодильник,1 500,аренду
 Шайхантахурский район,200 м², ,, , , ,3 200,аренду
 Яшнободский район,3,74,,8/9,Черновая отделка,Панельный,1 300,аренду
 Мирзо-Улугбекский район,323 м², ,, , , ,6 000,аренду
 Мирзо-Улугбекский район,2,80,,5/18,Евроремонт,Кирпичный,1 000,аренду
 Мирзо-Улугбекский район,128 м², ,, , , ,1 800,аренду
 Мирабадский район,2,45.3,,12/12,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,100 м², ,, , , ,3 500,аренду
 Чиланзарский район,1,42,,7/9,Евроремонт,Кирпичный,400,аренду
 Мирзо-Улугбекский район,56 м², ,, , , ,1 700,аренду
 Юнусабадский район,3,76,,3/4,Евроремонт,Кирпичный,1 100,аренду
 Мирабадский район,4,101,,2/4,Евроремонт,Кирпичный,1 500,аренду
 Яшнободский район,2,40,,8/9,Евроремонт,Кирпичный,650,аренду
 Шайхантахурский район,3,92,,6/7,Евроремонт,Кирпичный,2 800,аренду
 Юнусабадский район,3,70,,2/4,Черновая отделка,Кирпичный,800,аренду
 Яшнободский район,1,40,,9/9,Евроремонт,Монолитный,600,аренду
 Яшнободский район,2,65,,3/9,Черновая отделка,Кирпичный,700,аренду
 Яшнободский район,1,33,,4/5,Евроремонт,Кирпичный,400,аренду
 Олмазорский район,3,84,,7/9,Евроремонт,Кирпичный,1 000,аренду
 Олмазорский район,3,84,,15/18,Евроремонт,Кирпичный,1 050,аренду
 Яшнободский район,2,76,,5/9,Средний,Панельный,400,аренду
 Олмазорский район,2,65,,10/18,Евроремонт,Кирпичный,700,аренду
 Чиланзарский район,1,30,,2/4,Черновая отделка,Кирпичный,350,аренду
 Бектемирский район,2,68,,4/4,Черновая отделка, ,450,аренду
 Мирабадский район,1,38,,2/4,Евроремонт, ,400,аренду
 Мирабадский район,1,38,,1/4,Евроремонт, ,350,аренду
 Шайхантахурский район,4,150,,3/8,Евроремонт,Кирпичный,3 700,аренду
 Юнусабадский район,3,130,,8/8,Евроремонт,Кирпичный,1 500,аренду
 Шайхантахурский район,2,60,,3/8,Евроремонт,Кирпичный,1 400,аренду
 Мирзо-Улугбекский район,3,140,,6/9,Евроремонт,Кирпичный,1 600,аренду
 Чиланзарский район,2,60,,6/8,Евроремонт,Кирпичный,900,аренду
 Шайхантахурский район,3,125,,4/8,Евроремонт,Кирпичный,2 700,аренду
 Мирзо-Улугбекский район,3,115,,4/4,Евроремонт,Кирпичный,850,аренду
 Мирабадский район,3,85,,10/16,Евроремонт,Кирпичный,800,аренду
 Яккасарайский район,2,75,,4/8,Евроремонт,Кирпичный,1 200,аренду
 Яккасарайский район,2,65,,4/8,Евроремонт,Кирпичный,1 000,аренду
 Мирабадский район,2,35,,1,Парковочное место,Канализация,1 000,аренду
 Юнусабадский район,90 м², ,, , , ,1 500,аренду
 Юнусабадский район,80 м², ,, , , ,1 600,аренду
 Юнусабадский район,2,60,,1/4,Евроремонт,Кирпичный,400,аренду
 Мирзо-Улугбекский район,2,70,,6/9,Евроремонт,Другое,800,аренду
 Олмазорский район,1,30,,2/5,Черновая отделка,Детская площадка,400,аренду
 Яккасарайский район,4,85,,2/4,Черновая отделка,Кондиционер,1 000,аренду
 Мирзо-Улугбекский район,2,125,,2/5,Черновая отделка,Кирпичный,850,аренду
 Яккасарайский район,2,81,,9/9,Евроремонт,Кирпичный,1 500,аренду
 Яккасарайский район,2,60,,2/9,Интернет,Стиральная машина,400,аренду
 Яккасарайский район,3,82,,7/9,Евроремонт,Кирпичный,1 500,аренду
 Яккасарайский район,3,120,,6/10,Евроремонт,Кирпичный,1 500,аренду
 Яшнободский район,1,42,,2/4,Черновая отделка,Другое,280,аренду
 Мирзо-Улугбекский район,2,55,,15/21,Евроремонт,Кирпичный,1 350,аренду
 Мирабадский район,4,115,,3/9,Средний,Панельный,700,аренду
 Чиланзарский район,2,86,,1,Евроремонт,Телефонная линия,1 900,аренду
 Мирабадский район,2,55,,2/3,Евроремонт,Кирпичный,700,аренду
 Чиланзарский район,3,105,,2/4,Черновая отделка,Кирпичный,700,аренду
 Яккасарайский район,3,72,,8/9,Евроремонт,Кирпичный,850,аренду
 Яшнободский район,4,159,,3/4,Евроремонт,Кирпичный,1 200,аренду
 Шайхантахурский район,2,70,,5/7,Евроремонт,Кирпичный,1 300,аренду
 Мирабадский район,6+,110,,2/9,Евроремонт,Панельный,1 300,аренду
 Мирабадский район,2,54,,6/9,Евроремонт,Монолитный,1 300,аренду
 Мирабадский район,4,96,,3/9,Евроремонт,Панельный,800,аренду
 Яшнободский район,2,60,,2/4,Евроремонт,Кирпичный,800,аренду
 Мирзо-Улугбекский район,2,67,,4/25,Евроремонт,Монолитный,1 200,аренду
 Мирабадский район,3,80,,6/10,Евроремонт,Кирпичный,1 300,аренду
 Олмазорский район,2,55,,4/4,Средний,Телефонная линия,394.22,аренду
 Юнусабадский район,2,80,,4/5,Евроремонт,Кирпичный,600,аренду
 Мирабадский район,2,55,,4/9,Евроремонт,Панельный,600,аренду
 Мирзо-Улугбекский район,2,55,,1/4,Евроремонт,Кирпичный,399,аренду
 Мирзо-Улугбекский район,2,55,,1/4,Евроремонт,Кирпичный,400,аренду
 Мирабадский район,3,100,,2/8,Евроремонт,Кирпичный,1 800,аренду
 Мирабадский район,4,230,,2/7,Евроремонт,Кирпичный,2 500,аренду
 Мирабадский район,6+,220,,5/6,Евроремонт,Кирпичный,3 500,аренду
 Яккасарайский район,2,55,,2/10,Евроремонт,Кирпичный,900,аренду
 Мирабадский район,6+,100,,3/9,Евроремонт,Панельный,900,аренду
 Олмазорский район,3,125,,5/8,Евроремонт,Кирпичный,850,аренду
 Мирабадский район,4,148,,4/12,Евроремонт,Кирпичный,1 200,аренду
 Яшнободский район,2,49,,3/9,Черновая отделка,Кирпичный,900,аренду
 Яккасарайский район,2,60,,2/9,Евроремонт,Кирпичный,1 600,аренду
 Мирзо-Улугбекский район,2,78,,6/9,Евроремонт,Кирпичный,1 300,аренду
 Мирзо-Улугбекский район,2,67,,2/5,Черновая отделка,Кирпичный,500,аренду
 Мирзо-Улугбекский район,2,36,,5/5,Евроремонт,Панельный,350,аренду
 Мирабадский район,3,120,,9/9,Евроремонт,Телефонная линия,2 500,аренду
 Мирзо-Улугбекский район,6+,7 сот.,,500 м²,Средний,Кирпичный,6 000,аренду
 Мирабадский район,1,46,,8/9,Черновая отделка,Кирпичный,300,аренду
 Яккасарайский район,2,65,,9/9,Евроремонт,Панельный,1 200,аренду
 Мирзо-Улугбекский район,2,60,,8/10,Евроремонт,Кирпичный,1 500,аренду
 Яшнободский район,2,65,,3/9,Евроремонт,Лифт,750,аренду
 Мирзо-Улугбекский район,6+,200,,1/4,Парковочное место,Холодильник,4 000,аренду
 Мирабадский район,3,75,,3/9,Евроремонт,Парковочное место,1 200,аренду
 Яшнободский район,2,37,,5/9,Черновая отделка,Панельный,550,аренду
 Олмазорский район,2,51,,9/9,Евроремонт,Кирпичный,600,аренду
 Мирзо-Улугбекский район,6+,5 сот.,,500 м²,Евроремонт,Кирпичный,5 000,аренду
 Мирзо-Улугбекский район,4,136,,1/5,Евроремонт,Кирпичный,1 000,аренду
 Мирабадский район,3,82,,3/4,Евроремонт,Кирпичный,1 500,аренду
 Юнусабадский район,6+,3 сот.,,350 м²,Евроремонт,Телефонная линия,3 500,аренду
 Яшнободский район,3,52,,8/9,Средний,Монолитный,600,аренду
 Юнусабадский район,3,66.86,,3/4,Черновая отделка,Кирпичный,800,аренду
 Юнусабадский район,3,131,,8/8,Евроремонт,Кирпичный,2 000,аренду
 Яккасарайский район,3,86,,4/9,Евроремонт,Кирпичный,1 500,аренду
 Сергелийский район,2,42,,2/3,Черновая отделка,Кирпичный,400,аренду
 Юнусабадский район,6+,4.5 сот.,,600 м²,Евроремонт,Кирпичный,6 000,аренду
 Мирабадский район,3,75,,2/9,Черновая отделка,Панельный,1 000,аренду
 Мирзо-Улугбекский район,6+,6 сот.,,500 м²,Евроремонт,Телефонная линия,6 000,аренду
 Шайхантахурский район,2,63,,5/9,Евроремонт,Панельный,650,аренду
 Юнусабадский район,1,38,,4/5,Черновая отделка,Панельный,300,аренду
 Юнусабадский район,6+,100,,1/4,Евроремонт,Кирпичный,500,аренду
 Юнусабадский район,2,60,,2/4,Евроремонт,Панельный,700,аренду
 Юнусабадский район,2,60,,2/4,Черновая отделка,Панельный,450,аренду
 Юнусабадский район,2,60,,8/9,Черновая отделка,Другое,500,аренду
 Юнусабадский район,3,102,,6/8,Евроремонт,Кирпичный,1 100,аренду
 Чиланзарский район,3,49,,4/4,Черновая отделка,Панельный,400,аренду
 Мирзо-Улугбекский район,1,38,,1/5,Евроремонт,Панельный,350,аренду
 Чиланзарский район,1,30,,2/2,Средний,Кирпичный,250,аренду
 Яшнободский район,2,66,,2/10,Евроремонт,Кирпичный,500,аренду
 Мирабадский район,6+,100,,4/9,Евроремонт,Панельный,1 200,аренду
 Мирабадский район,4,114,,4/6,Евроремонт,Кирпичный,700,аренду
 Яшнободский район,3,55,,8/9,Евроремонт,Кирпичный,550,аренду
 Яккасарайский район,4,112,,5/5,Евроремонт,Кирпичный,900,аренду
 Яшнободский район,3,74,,2/9,Евроремонт,Кирпичный,900,аренду
 Шайхантахурский район,1,45,,8/8,Евроремонт, ,1 200,аренду
 Яккасарайский район,2,66,,3/10,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,3,70,,1/2,Черновая отделка,Кирпичный,600,аренду
 Шайхантахурский район,2,55,,2/4,Черновая отделка,Кирпичный,600,аренду
 Яшнободский район,3,75.09,,2/4,Евроремонт,Холодильник,600,аренду
 Яшнободский район,4,115.05,,2/9,Евроремонт,Кирпичный,1 100,аренду
 Олмазорский район,3,65,,2/4,Евроремонт,Кондиционер,600,аренду
 Юнусабадский район,2,60,,2/4,Евроремонт,Панельный,400,аренду
 Чиланзарский район,4,80,,4/4,Черновая отделка,Кирпичный,680,аренду
 Чиланзарский район,3,75,,7/9,Черновая отделка,Панельный,650,аренду
 Мирабадский район,2,60,,2/4,Евроремонт,Кирпичный,700,аренду
 Чиланзарский район,2,54,,2/4,Евроремонт,Кирпичный,700,аренду
 Яккасарайский район,2,63,,2/3,Евроремонт,Кондиционер,1 000,аренду
 Шайхантахурский район,2,80,,3/7,Евроремонт,Кирпичный,700,аренду
 Мирабадский район,4,90,,3/4,Средний,Кирпичный,800,аренду
 Чиланзарский район,2,50,,1/4,Евроремонт,Панельный,600,аренду
 Мирабадский район,2,49.33,,2/9,Черновая отделка,Кирпичный,800,аренду
 Яшнободский район,3,55,,3/9,Средний,Панельный,500,аренду
 Чиланзарский район,1,33,,4/4,Черновая отделка,Панельный,350,аренду
 Олмазорский район,3,97,,2/9,Средний,Панельный,500,аренду
 Яшнободский район,3,52,,8/9,Черновая отделка,Лифт,650,аренду
 Шайхантахурский район,4,100,,1/5,Средний,Монолитный,500,аренду
 Мирабадский район,3,80,,6/10,Евроремонт,Кирпичный,1 200,аренду
 Мирабадский район,2,50,,3/4,Средний,Кирпичный,600,аренду
 Мирзо-Улугбекский район,2,60,,3/4,Евроремонт,Кирпичный,600,аренду
 Чиланзарский район,2,46,,4/4,Евроремонт,Телевизор,400,аренду
 Яшнободский район,3,75,,9/9,Евроремонт,Панельный,1 000,аренду
 Юнусабадский район,2,80,,4/16,Евроремонт,Панельный,1 000,аренду
 Яккасарайский район,3,70,,1/9,Евроремонт,Панельный,1 200,аренду
 Мирабадский район,3,110,,10/12,Евроремонт,Лифт,2 800,аренду
 Мирабадский район,3,80,,6/12,Евроремонт,Парковочное место,2 500,аренду
 Мирабадский район,4,220,,3/8,Евроремонт,Кирпичный,3 000,аренду
 Яшнободский район,3,100,,3/9,Евроремонт,Кирпичный,1 500,аренду
 Шайхантахурский район,3,73,,5/7,Евроремонт,Лифт,1 500,аренду
 Мирзо-Улугбекский район,2,72,,4/25,Евроремонт,Монолитный,1 500,аренду
 Яшнободский район,3,150,,4/7,Евроремонт,Кирпичный,2 500,аренду
 Мирзо-Улугбекский район,3,87,,1/4,Евроремонт,Кирпичный,1 500,аренду
 Яккасарайский район,3,180,,2/6,Евроремонт,Кирпичный,2 200,аренду
 Чиланзарский район,2,50,,1/2,Евроремонт,Панельный,450,аренду
 Чиланзарский район,2,50,,1/4,Евроремонт,Панельный,450,аренду
 Мирзо-Улугбекский район,3,75,,13/25,Евроремонт,Монолитный,1 500,аренду
 Мирзо-Улугбекский район,6+,195,,4/9,Евроремонт,Кирпичный,2 000,аренду
 Мирабадский район,6+,220,,5/6,Евроремонт,Кирпичный,3 200,аренду
 Яшнободский район,2,50,,2/9,Евроремонт,Кирпичный,900,аренду
 Шайхантахурский район,3,70,,3/9,Евроремонт,Кирпичный,700,аренду
 Яшнободский район,3,75,,3/9,Евроремонт,Кирпичный,800,аренду
 Юнусабадский район,2,60,,10/12,Евроремонт,Кирпичный,1 000,аренду
 Мирабадский район,2,52,,4/8,Евроремонт,Кирпичный,900,аренду
 Шайхантахурский район,3,100,,3/8,Евроремонт,Кирпичный,2 500,аренду
 Яшнободский район,3,2 сот.,,112 м²,Евроремонт,Кирпичный,700,аренду
 Юнусабадский район,3,87,,2/8,Евроремонт,Кирпичный,1 100,аренду
 Яккасарайский район,2,58,,2/3,Евроремонт,Кирпичный,1 000,аренду
 Чиланзарский район,2,48,,2/4,Средний,Панельный,350,аренду
 Яшнободский район,3,80,,7/9,Евроремонт,Панельный,500,аренду
 Яшнободский район,4,130,,6/7,Евроремонт,Кондиционер,1 000,аренду
 Мирабадский район,2,54,,4/4,Кирпичный,Лифт,550,аренду
 Олмазорский район,3,75,,4/5,Средний,Панельный,450,аренду
 Юнусабадский район,2,60,,2/4,Черновая отделка,Панельный,400,аренду
 Юнусабадский район,6+,320,,7/8,Евроремонт,Кирпичный,2 000,аренду
 Мирабадский район,3,105,,6/6,Евроремонт,Кирпичный,1 600,аренду
 Шайхантахурский район,2,61,,7/7,Евроремонт,Кирпичный,1 600,аренду
