adress,rooms,size,floor,level,repair,wall,price
 Юнусабадский район,4,58.0,4,4,Средний,Кирпичный,600.0
 Яшнободский район,1,35.0,3,4,Авторский проект,Панельный,300.0
 Яшнободский район,1,35.0,5,5,Авторский проект,Панельный,300.0
 Мирзо-Улугбекский район,2,57.0,3,5,Средний,Панельный,350.0
 Юнусабадский район,3,73.0,1,9,Евроремонт,Кирпичный,1000.0
 Мирабадский район,3,73.0,4,9,Евроремонт,Кирпичный,900.0
 Мирзо-Улугбекский район,2,75.0,2,4,Авторский проект,Кирпичный,1300.0
 Чиланзарский район,2,46.0,3,4,Средний,Панельный,350.0
 Юнусабадский район,4,90.0,3,4,Евроремонт,Кирпичный,1000.0
 Яккасарайский район,2,69.0,2,9,Евроремонт,Кирпичный,1000.0
 Яккасарайский район,2,84.0,6,8,Евроремонт,Кирпичный,1200.0
 Яшнободский район,1,26.0,2,9,Авторский проект,Кирпичный,450.0
 Чиланзарский район,2,45.0,3,4,Евроремонт,Панельный,400.0
 Мирзо-Улугбекский район,3,90.0,3,7,Авторский проект,Монолитный,1300.0
 Учтепинский район,2,45.0,1,5,Средний,Монолитный,350.0
 Мирзо-Улугбекский район,3,76.0,7,9,Евроремонт,Кирпичный,600.0
 Яккасарайский район,2,65.0,3,8,Авторский проект,Кирпичный,850.0
 Яккасарайский район,2,84.0,6,8,Авторский проект,Кирпичный,1200.0
 Чиланзарский район,1,30.0,3,4,Средний,Кирпичный,300.0
 Мирзо-Улугбекский район,3,90.0,3,7,Авторский проект,Кирпичный,1300.0
 Мирабадский район,4,90.0,2,4,Евроремонт,Кирпичный,1200.0
 Учтепинский район,3,65.0,6,9,Евроремонт,Монолитный,700.0
 Чиланзарский район,1,30.0,3,4,Евроремонт,Кирпичный,450.0
 Мирабадский район,3,82.0,1,4,Евроремонт,Кирпичный,600.0
 Учтепинский район,2,45.0,2,5,Евроремонт,Панельный,450.0
 Чиланзарский район,1,30.0,3,4,Средний,Кирпичный,400.0
 Яккасарайский район,2,56.0,6,6,Евроремонт,Кирпичный,700.0
 Чиланзарский район,2,50.0,1,4,Средний,Панельный,400.0
 Чиланзарский район,2,60.0,3,5,Авторский проект,Кирпичный,500.0
 Чиланзарский район,1,30.0,1,4,Авторский проект,Панельный,350.0
 Чиланзарский район,1,53.0,6,9,Евроремонт,Монолитный,800.0
 Мирзо-Улугбекский район,3,76.0,7,9,Евроремонт,Панельный,600.0
 Мирабадский район,2,55.0,3,5,Евроремонт,Кирпичный,600.0
 Юнусабадский район,4,90.0,2,4,Авторский проект,Кирпичный,900.0
 Чиланзарский район,2,45.0,3,4,Средний,Панельный,350.0
 Чиланзарский район,1,30.0,4,4,Средний,Панельный,300.0
 Мирзо-Улугбекский район,3,70.0,3,4,Евроремонт,Кирпичный,500.0
 Мирзо-Улугбекский район,3,70.0,4,9,Средний,Панельный,300.0
 Мирзо-Улугбекский район,3,105.0,1,8,Евроремонт,Монолитный,2500.0
 Яшнободский район,2,40.0,3,5,Евроремонт,Кирпичный,450.0
 Яккасарайский район,2,65.0,3,8,Евроремонт,Кирпичный,850.0
 Учтепинский район,2,45.0,2,4,Евроремонт,Кирпичный,450.0
 Яккасарайский район,1,38.0,4,4,Средний,Кирпичный,400.0
 Мирзо-Улугбекский район,2,60.0,2,3,Евроремонт,Кирпичный,500.0
 Мирабадский район,2,50.0,12,12,Евроремонт,Кирпичный,1400.0
 Яшнободский район,2,42.0,3,9,Евроремонт,Кирпичный,500.0
 Мирабадский район,4,175.0,6,8,Евроремонт,Кирпичный,2000.0
 Шайхантахурский район,3,70.0,3,4,Авторский проект,Кирпичный,850.0
 Шайхантахурский район,2,65.0,3,4,Евроремонт,Кирпичный,550.0
 Яшнободский район,2,68.0,4,9,Евроремонт,Кирпичный,750.0
 Яшнободский район,2,62.0,3,8,Евроремонт,Кирпичный,700.0
 Мирабадский район,2,50.0,2,4,Евроремонт,Кирпичный,700.0
 Юнусабадский район,2,60.0,9,11,Евроремонт,Кирпичный,900.0
 Чиланзарский район,2,46.0,2,3,Евроремонт,Панельный,550.0
 Чиланзарский район,4,100.0,8,9,Евроремонт,Панельный,700.0
 Мирабадский район,3,80.0,9,9,Евроремонт,Панельный,450.0
 Чиланзарский район,2,46.0,2,4,Евроремонт,Панельный,550.0
 Мирабадский район,4,90.0,2,4,Евроремонт,Кирпичный,1200.0
 Яккасарайский район,3,71.0,4,4,Евроремонт,Кирпичный,800.0
 Чиланзарский район,2,30.0,2,4,Средний,Кирпичный,350.0
 Чиланзарский район,3,65.0,2,4,Евроремонт,Кирпичный,600.0
 Мирабадский район,2,55.0,5,9,Авторский проект,Панельный,900.0
 Мирабадский район,3,82.0,1,4,Евроремонт,Кирпичный,650.0
 Юнусабадский район,2,60.0,3,5,Евроремонт,Кирпичный,600.0
 Мирабадский район,2,45.0,8,8,Авторский проект,Кирпичный,900.0
 Мирабадский район,3,130.0,2,8,Евроремонт,Кирпичный,1500.0
 Чиланзарский район,1,20.0,2,5,Авторский проект,Кирпичный,220.0
 Шайхантахурский район,4,90.0,2,4,Евроремонт,Кирпичный,650.0
 Яшнободский район,1,35.0,4,4,Евроремонт,Панельный,300.0
